Product Id,Variant Id,Handle,Title,URL,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
,,patanjali-rejuvenating-turmeric-&-sandalwood-soap,Patanjali Rejuvenating Turmeric & Sandalwood Soap,,,Patanjali,,soap,TRUE,,,Size,125 gm,,,,,,45,,,continue,manual,45,45,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,45,TRUE,TRUE,Default,,,,,,,
,,patanjali-protecting-neem-soap,Patanjali Protecting Neem Soap ,,,Patanjali,,soap,TRUE,,,Size,125 gm,,,,,,46,,,continue,manual,46,46,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,46,TRUE,TRUE,Default,,,,,,,
,,haldi-chandan-kanti-body-cleanser-150-gm,Haldi Chandan Kanti Body Cleanser 150 Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,150 gm,,,,,,47,,,continue,manual,47,47,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,47,TRUE,TRUE,Default,,,,,,,
,,aloevera-kanti-body-cleanser-150-g,Aloevera Kanti Body Cleanser 150 G,,,Patanjali,,"soap, best-selling",TRUE,,,Size,150 gm,,,,,,48,,,continue,manual,48,48,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,48,TRUE,TRUE,Default,,,,,,,
,,neem-kanti-body-cleanser-150-gm,Neem Kanti Body Cleanser 150 Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,150 gm,,,,,,49,,,continue,manual,49,49,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,49,TRUE,TRUE,Default,,,,,,,
,,patanjali-neem-aloe-vera-face-pack-with-cucumber,Patanjali Neem-Aloe Vera Face Pack ( With Cucumber ),,,Patanjali,,face-wash,TRUE,,,Size,60 ml,,,,,,50,,,continue,manual,50,50,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,50,TRUE,TRUE,Default,,,,,,,
,,patanjali-multani-mitti-face-pack-with-mineral-clay-&-aloe-vera,Patanjali Multani Mitti Face Pack ( With Mineral Clay & Aloe Vera ),,,Patanjali,,face-wash,TRUE,,,Size,60 ml,,,,,,51,,,continue,manual,51,51,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,51,TRUE,TRUE,Default,,,,,,,
,,orange-aloevera-face-wash,Orange Aloevera Face Wash,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,60 gm,,,,,,52,,,continue,manual,52,52,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,52,TRUE,TRUE,Default,,,,,,,
,,patanjali-lemon-honey-face-wash,Patanjali Lemon Honey Face Wash,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,60 gm,,,,,,53,,,continue,manual,53,53,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,53,TRUE,TRUE,Default,,,,,,,
,,orange-honey-facewash-60-g,Orange Honey Facewash 60 G,,,Patanjali,,"face-wash, best-selling",TRUE,,,Size,60 gm,,,,,,54,,,continue,manual,54,54,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,54,TRUE,TRUE,Default,,,,,,,
